DataFrame has,Syntax,Description:,Label,Type,parameters,cut_syntax
Constructor,"DataFrame([data, index, columns, dtype, copy])","Two-dimensional, size-mutable, potentially heterogeneous tabular data.",constructor,Function,"['data', 'index', 'columns', 'dtype', 'copy']",DataFrame()
Attributes and underlying data,DataFrame.index,The index (row labels) of the DataFrame.,index information,Attribute,,DataFrame.index
Attributes and underlying data,DataFrame.columns,The column labels of the DataFrame.,column label,Attribute,,DataFrame.columns
Attributes and underlying data,DataFrame.dtypes,Return the dtypes in the DataFrame.,find datatypes,Attribute,,DataFrame.dtypes
Attributes and underlying data,"DataFrame.info([verbose, buf, max_cols, ...])",Print a concise summary of a DataFrame.,data summary,Function,"['verbose', 'buf', 'max_cols', '...']",DataFrame.info()
Attributes and underlying data,"DataFrame.select_dtypes([include, exclude])",Return a subset of the DataFrame's columns based on the column dtypes.,select datatypes,Function,"['include', 'exclude']",DataFrame.select_dtypes()
Attributes and underlying data,DataFrame.values,Return a Numpy representation of the DataFrame.,dataframe to numpy,Attribute,,DataFrame.values
Attributes and underlying data,DataFrame.axes,Return a list representing the axes of the DataFrame.,axes labels,Attribute,,DataFrame.axes
Attributes and underlying data,DataFrame.ndim,Return an int representing the number of axes / array dimensions.,dimention,Attribute,,DataFrame.ndim
Attributes and underlying data,DataFrame.size,Return an int representing the number of elements in this object.,size of data,Attribute,,DataFrame.size
Attributes and underlying data,DataFrame.shape,Return a tuple representing the dimensionality of the DataFrame.,shape of data,Attribute,,DataFrame.shape
Attributes and underlying data,"DataFrame.memory_usage([index, deep])",Return the memory usage of each column in bytes.,memory usage,Function,"['index', 'deep']",DataFrame.memory_usage()
Attributes and underlying data,DataFrame.empty,Indicator whether Series/DataFrame is empty.,empty or not,Attribute,,DataFrame.empty
Attributes and underlying data,"DataFrame.set_flags(*[, copy, ...])",Return a new object with updated flags.,allow duplicates or not,Function,"['*', 'copy', '...']",DataFrame.set_flags()
Conversion,"DataFrame.astype(dtype[, copy, errors])",Cast a pandas object to a specified dtype dtype.,change datatype,Function,"['dtype', 'copy', 'errors']",DataFrame.astype()
Conversion,"DataFrame.convert_dtypes([infer_objects, ...])",Convert columns to best possible dtypes using dtypes supporting pd.NA.,find best possible datatype,Function,"['infer_objects', '...']",DataFrame.convert_dtypes()
Conversion,DataFrame.infer_objects(),Attempt to infer better dtypes for object columns.,find better datatype,Function,[''],DataFrame.infer_objects()
Conversion,DataFrame.copy([deep]),Make a copy of this object's indices and data.,copy of dataframe,Function,['deep'],DataFrame.copy()
Conversion,DataFrame.bool(),Return the bool of a single element Series or DataFrame.,one row true or not,Function,[''],DataFrame.bool()
"Indexing, iteration",DataFrame.head([n]),Return the first n rows.,top first rows,Function,['n'],DataFrame.head()
"Indexing, iteration",DataFrame.at,Access a single value for a row/column label pair.,locate a cell,Attribute,,DataFrame.at
"Indexing, iteration",DataFrame.iat,Access a single value for a row/column pair by integer position.,locatea cell by index,Attribute,,DataFrame.iat
"Indexing, iteration",DataFrame.loc,Access a group of rows and columns by label(s) or a boolean array.,conditional locator,Attribute,,DataFrame.loc
"Indexing, iteration",DataFrame.iloc,Purely integer-location based indexing for selection by position.,index locator,Attribute,,DataFrame.iloc
