Series has,Syntax,Description:,Label,parameters,Type,cut_syntax
Constructor,"Series([data, index, dtype, name, copy, ...])",One-dimensional ndarray with axis labels (including time series).,constructor,"['data', 'index', 'dtype', 'name', 'copy', '...']",Function,Series()
Attributes,Series.index,The index (axis labels) of the Series.,index information,,Attribute,Series.index
Attributes,Series.array,The ExtensionArray of the data backing this Series or Index.,convert to array,,Attribute,Series.array
Attributes,Series.values,Return Series as ndarray or ndarray-like depending on the dtype.,find values,,Attribute,Series.values
Attributes,Series.dtype,Return the dtype object of the underlying data.,find datatypes,,Attribute,Series.dtype
Attributes,Series.shape,Return a tuple of the shape of the underlying data.,find rows and columns,,Attribute,Series.shape
Attributes,Series.nbytes,Return the number of bytes in the underlying data.,find bytes,,Attribute,Series.nbytes
Attributes,Series.ndim,"Number of dimensions of the underlying data, by definition 1.",fijnd dimension,,Attribute,Series.ndim
Attributes,Series.size,Return the number of elements in the underlying data.,find number of values,,Attribute,Series.size
Attributes,Series.T,"Return the transpose, which is by definition self.",get transpose,,Attribute,Series.T
Attributes,"Series.memory_usage([index, deep])",Return the memory usage of the Series.,memory used,"['index', 'deep']",Function,Series.memory_usage()
Attributes,Series.hasnans,Return True if there are any NaNs.,find nulls,,Attribute,Series.hasnans
Attributes,Series.empty,Indicator whether Series/DataFrame is empty.,empty,,Attribute,Series.empty
Attributes,Series.dtypes,Return the dtype object of the underlying data.,find datatypes,,Attribute,Series.dtypes
Attributes,Series.name,Return the name of the Series.,series name,,Attribute,Series.name
Attributes,Series.flags,Get the properties associated with this pandas object.,series flags,,Attribute,Series.flags
Attributes,"Series.set_flags(*[, copy, ...])",Return a new object with updated flags.,series set flags,"['*', 'copy', '...']",Function,Series.set_flags()
Conversion,"Series.astype(dtype[, copy, errors])",Cast a pandas object to a specified dtype dtype.,change datatype,"['dtype', 'copy', 'errors']",Function,Series.astype()
